Area,Cancer Type,Sex,Race,5-year relative survival
Utah,All Types of Cancer,Male and Female,All Races and Ethnicities,73.2
Colorado,All Types of Cancer,Male and Female,All Races and Ethnicities,70.4
Minnesota,All Types of Cancer,Male and Female,All Races and Ethnicities,69.9
New Hampshire,All Types of Cancer,Male and Female,All Races and Ethnicities,69.8
Washington,All Types of Cancer,Male and Female,All Races and Ethnicities,69.4
New Jersey,All Types of Cancer,Male and Female,All Races and Ethnicities,69.2
Rhode Island,All Types of Cancer,Male and Female,All Races and Ethnicities,69.0
North Dakota,All Types of Cancer,Male and Female,All Races and Ethnicities,68.9
Oregon,All Types of Cancer,Male and Female,All Races and Ethnicities,68.9
Kansas,All Types of Cancer,Male and Female,All Races and Ethnicities,68.8
Maryland,All Types of Cancer,Male and Female,All Races and Ethnicities,68.7
New York,All Types of Cancer,Male and Female,All Races and Ethnicities,68.6
Montana,All Types of Cancer,Male and Female,All Races and Ethnicities,68.2
Wyoming,All Types of Cancer,Male and Female,All Races and Ethnicities,68.1
Vermont,All Types of Cancer,Male and Female,All Races and Ethnicities,68.0
California,All Types of Cancer,Male and Female,All Races and Ethnicities,67.9
Wisconsin,All Types of Cancer,Male and Female,All Races and Ethnicities,67.8
Idaho,All Types of Cancer,Male and Female,All Races and Ethnicities,67.0
Nebraska,All Types of Cancer,Male and Female,All Races and Ethnicities,66.9
Delaware,All Types of Cancer,Male and Female,All Races and Ethnicities,66.7
Pennsylvania,All Types of Cancer,Male and Female,All Races and Ethnicities,66.4
Illinois,All Types of Cancer,Male and Female,All Races and Ethnicities,66.2
Alaska,All Types of Cancer,Male and Female,All Races and Ethnicities,66.1
Maine,All Types of Cancer,Male and Female,All Races and Ethnicities,66.1
North Carolina,All Types of Cancer,Male and Female,All Races and Ethnicities,66.1
Georgia,All Types of Cancer,Male and Female,All Races and Ethnicities,66.0
District of Columbia,All Types of Cancer,Male and Female,All Races and Ethnicities,65.8
Ohio,All Types of Cancer,Male and Female,All Races and Ethnicities,65.7
Florida,All Types of Cancer,Male and Female,All Races and Ethnicities,65.4
Texas,All Types of Cancer,Male and Female,All Races and Ethnicities,65.0
South Carolina,All Types of Cancer,Male and Female,All Races and Ethnicities,64.2
Arizona,All Types of Cancer,Male and Female,All Races and Ethnicities,64.0
Louisiana,All Types of Cancer,Male and Female,All Races and Ethnicities,63.9
Tennessee,All Types of Cancer,Male and Female,All Races and Ethnicities,63.8
Missouri,All Types of Cancer,Male and Female,All Races and Ethnicities,63.5
Indiana,All Types of Cancer,Male and Female,All Races and Ethnicities,63.3
Arkansas,All Types of Cancer,Male and Female,All Races and Ethnicities,63.2
Alabama,All Types of Cancer,Male and Female,All Races and Ethnicities,63.0
Oklahoma,All Types of Cancer,Male and Female,All Races and Ethnicities,62.4
Kentucky,All Types of Cancer,Male and Female,All Races and Ethnicities,61.8
Mississippi,All Types of Cancer,Male and Female,All Races and Ethnicities,61.4
West Virginia,All Types of Cancer,Male and Female,All Races and Ethnicities,61.2
Hawaii,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
South Dakota,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Iowa,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Massachusetts,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Connecticut,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Nevada,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Virginia,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
New Mexico,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
Michigan,All Types of Cancer,Male and Female,All Races and Ethnicities,Data Suppressed
