State,Race,Sex,Age-adjusted Prevalence,Total Respondents
Florida,All Races and Ethnicities,Male and Female,Data Suppressed,Data Suppressed
District of Columbia,All Races and Ethnicities,Male and Female,26,3198
New Jersey,All Races and Ethnicities,Male and Female,29.5,7965
Connecticut,All Races and Ethnicities,Male and Female,30.1,8341
New York,All Races and Ethnicities,Male and Female,30.1,39095
Rhode Island,All Races and Ethnicities,Male and Female,30.1,5609
Vermont,All Races and Ethnicities,Male and Female,30.5,6580
Maryland,All Races and Ethnicities,Male and Female,31.2,15627
New Hampshire,All Races and Ethnicities,Male and Female,31.4,6536
Minnesota,All Races and Ethnicities,Male and Female,32.2,15959
Washington,All Races and Ethnicities,Male and Female,32.2,13142
California,All Races and Ethnicities,Male and Female,32.5,6735
Maine,All Races and Ethnicities,Male and Female,32.5,11808
Michigan,All Races and Ethnicities,Male and Female,33,9425
Colorado,All Races and Ethnicities,Male and Female,33.3,10476
Georgia,All Races and Ethnicities,Male and Female,33.4,8186
Utah,All Races and Ethnicities,Male and Female,33.5,10621
Massachusetts,All Races and Ethnicities,Male and Female,33.8,7683
Delaware,All Races and Ethnicities,Male and Female,34.1,3640
South Carolina,All Races and Ethnicities,Male and Female,34.2,10057
Oregon,All Races and Ethnicities,Male and Female,34.3,5378
Virginia,All Races and Ethnicities,Male and Female,34.3,9902
Texas,All Races and Ethnicities,Male and Female,34.9,10815
Pennsylvania,All Races and Ethnicities,Male and Female,35,6419
Illinois,All Races and Ethnicities,Male and Female,35.1,3210
Wisconsin,All Races and Ethnicities,Male and Female,36,6106
Indiana,All Races and Ethnicities,Male and Female,36.1,9929
Alaska,All Races and Ethnicities,Male and Female,37,5493
Ohio,All Races and Ethnicities,Male and Female,37.3,14308
North Carolina,All Races and Ethnicities,Male and Female,37.4,4939
Montana,All Races and Ethnicities,Male and Female,37.5,6243
Idaho,All Races and Ethnicities,Male and Female,37.7,6788
Arizona,All Races and Ethnicities,Male and Female,37.8,10654
New Mexico,All Races and Ethnicities,Male and Female,38.1,6362
Nevada,All Races and Ethnicities,Male and Female,38.2,2739
Iowa,All Races and Ethnicities,Male and Female,38.3,9625
Arkansas,All Races and Ethnicities,Male and Female,38.8,5372
Wyoming,All Races and Ethnicities,Male and Female,39.1,4413
Kansas,All Races and Ethnicities,Male and Female,39.2,17565
Nebraska,All Races and Ethnicities,Male and Female,39.3,14923
Hawaii,All Races and Ethnicities,Male and Female,39.5,7787
Tennessee,All Races and Ethnicities,Male and Female,39.6,4788
Missouri,All Races and Ethnicities,Male and Female,40.1,12266
North Dakota,All Races and Ethnicities,Male and Female,40.2,5909
Oklahoma,All Races and Ethnicities,Male and Female,40.3,5451
South Dakota,All Races and Ethnicities,Male and Female,40.6,7290
Louisiana,All Races and Ethnicities,Male and Female,40.7,5102
Kentucky,All Races and Ethnicities,Male and Female,40.9,5429
Alabama,All Races and Ethnicities,Male and Female,41.3,4586
West Virginia,All Races and Ethnicities,Male and Female,42,6744
Mississippi,All Races and Ethnicities,Male and Female,42.6,4421
Puerto Rico,All Races and Ethnicities,Male and Female,49.3,4014
