Area,Cancer Type,Duration,Sex,Race,Prevalence Count,Prevalence Percentage
Wyoming,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9656,1.66601965
District of Columbia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9740,1.37921269
Alaska,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9984,1.35815762
Vermont,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,13064,2.09216814
North Dakota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,13123,1.72242034
Delaware,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,19763,2.03359345
Montana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,21369,2.0046521
Rhode Island,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,21404,2.0216331
Idaho,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,28386,1.60321524
New Hampshire,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,29190,2.14960563
Maine,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,29287,2.18080169
Nebraska,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,34201,1.77295304
West Virginia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,37711,2.09434813
Utah,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,39271,1.23522144
Mississippi,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,52310,1.75504344
Kansas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,52542,1.80389856
Arkansas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,54790,1.81629949
Oklahoma,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,62806,1.58918767
Oregon,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,74143,1.76538224
Colorado,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,83111,1.45100567
Louisiana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,83267,1.78632129
Alabama,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,85304,1.74097026
Kentucky,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,86240,1.93003662
South Carolina,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,89602,1.74843337
Minnesota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,105566,1.87692659
Arizona,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,105926,1.4654881
Maryland,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,106764,1.76511624
Missouri,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,107626,1.75480116
Wisconsin,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,112594,1.93561918
Indiana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,115135,1.71465918
Tennessee,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,119904,1.7621921
Washington,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,126751,1.67429538
Georgia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,171859,1.62534332
New Jersey,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,179455,2.01827724
North Carolina,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,189547,1.81447701
Ohio,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,217397,1.8598904
Illinois,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,228852,1.80257314
Pennsylvania,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,259795,2.02901516
Texas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,380942,1.32245451
New York,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,390876,2.00412083
Florida,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,423510,1.98147322
California,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,582663,1.47743255
Hawaii,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
South Dakota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Iowa,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Massachusetts,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Connecticut,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Nevada,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Virginia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
New Mexico,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Michigan,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
