Entity,Code,Year,Other cancers (deaths),Gallbladder cancer (deaths),Larynx cancer (deaths),Other pharynx cancer (deaths),Kidney cancer (deaths),Ovarian cancer (deaths),Lip and oral cavity cancer (deaths),Bladder cancer (deaths),Brain and nervous system cancer (deaths),Non-Hodgkin lymphoma (deaths),Cervical cancer (deaths),Leukemia (deaths),Prostate cancer (deaths),Pancreatic cancer (deaths),Esophageal cancer (deaths),Breast cancer (deaths),Liver cancer (deaths),Colon and rectum cancer (deaths),Stomach cancer (deaths),"Tracheal, bronchus, and lung cancer (deaths)"
Puerto Rico,PRI,1990,468,72,94,64,68,73,112,87,82,170,114,218,475,185,232,315,248,434,378,564
Puerto Rico,PRI,1991,480,73,95,63,70,74,112,90,84,176,114,220,509,189,231,328,256,452,381,582
Puerto Rico,PRI,1992,486,76,93,63,70,76,111,95,89,182,112,221,563,194,230,344,258,475,382,601
Puerto Rico,PRI,1993,509,75,92,59,71,77,108,96,86,180,113,225,568,202,229,349,267,494,381,614
Puerto Rico,PRI,1994,538,74,99,57,70,78,108,102,86,181,116,230,601,217,227,369,267,530,396,659
Puerto Rico,PRI,1995,550,72,99,54,66,81,103,104,88,184,116,233,605,219,223,373,271,547,387,667
Puerto Rico,PRI,1996,562,71,98,52,67,82,98,104,87,184,114,235,606,225,216,383,276,562,373,663
Puerto Rico,PRI,1997,564,68,92,46,67,87,91,103,87,185,114,234,596,213,206,382,272,569,361,637
Puerto Rico,PRI,1998,571,63,92,46,66,87,87,102,87,183,113,238,588,215,197,384,263,583,351,637
Puerto Rico,PRI,1999,582,64,91,45,68,93,85,109,88,185,115,243,587,217,193,398,271,623,355,649
Puerto Rico,PRI,2000,586,62,89,45,71,95,85,111,85,187,114,247,587,220,185,402,278,643,346,652
Puerto Rico,PRI,2001,585,60,84,44,72,98,86,110,83,187,113,247,581,223,181,412,283,666,341,649
Puerto Rico,PRI,2002,590,60,82,44,73,101,86,113,81,190,115,249,592,224,174,422,280,678,333,641
Puerto Rico,PRI,2003,589,58,80,42,73,103,86,116,80,189,114,254,587,224,171,424,283,697,320,644
Puerto Rico,PRI,2004,591,60,78,42,78,104,86,119,81,194,114,256,594,230,165,434,286,715,317,650
Puerto Rico,PRI,2005,587,60,76,42,80,107,87,123,83,198,115,257,597,236,162,441,289,718,298,646
