Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
North America,,1990,,39390.19531,421575397,
North America,,1991,,38828.51953,427934509,
North America,,1992,,39650.29297,434703257,
North America,,1993,,40216.55078,441450384,
North America,,1994,,41331.8125,448069901,
North America,,1995,,41945.63672,454557639,
North America,,1996,,43029.49219,460925637,
North America,,1997,,44386.74609,467334865,
North America,,1998,,45797.53906,473719801,
North America,,1999,,47415.69531,479976626,
North America,,2000,,48863.38672,486364446,
North America,,2001,,48876.24609,492319208,
North America,,2002,,49320.98828,498067243,
North America,,2003,,50331.375,503641588,
North America,,2004,,51765.92578,509273976,
North America,,2005,,53149.86328,514942529,
North America,,2006,,54194.42969,520586895,
North America,,2007,,54898.81641,526315123,
North America,,2008,,54351.28516,532006442,
North America,,2009,,52478.36719,537567761,
North America,,2010,,53386.15625,543052879,
North America,,2011,,53877.70703,548684151,
North America,,2012,,54644.75,554435782,
North America,,2013,,55268.98047,560056144,
North America,,2014,,56250.78516,565486685,
North America,,2015,,57440.39844,570726015,
North America,,2016,,57944.19922,576008328,
North America,,2017,,58922.11328,581258143,
North America,,2018,,60303.73047,585864285,
North America,,2019,,61251.44922,590497015,
North America,,2020,,58496.77734,594263186,
North America,,-10000,,,1179199,
North America,,-9000,,,1423041,
North America,,-8000,,,1722408,
North America,,-7000,,,2090695,
North America,,-6000,,,2544659,
North America,,-5000,,,3105304,
North America,,-4000,,,3798975,
North America,,-3000,,,4658938,
North America,,-2000,,,5727195,
North America,,-1000,,,7057115,
North America,,0,,,8717237,
North America,,100,,,9219099,
North America,,200,,,9752458,
North America,,300,,,10319944,
North America,,400,,,10924257,
North America,,500,,,11568840,
North America,,600,,,12257449,
North America,,700,,,12994596,
North America,,800,,,13785816,
North America,,900,,,15945382,
North America,,1000,,,18135328,
North America,,1100,,,20495163,
North America,,1200,,,22955579,
North America,,1300,,,25469810,
North America,,1400,,,28148490,
North America,,1500,,,30992776,
North America,,1600,,,3812990,
North America,,1700,,,6768114,
North America,,1710,,,7647262,
North America,,1720,,,8548138,
North America,,1730,,,9479092,
North America,,1740,,,10417980,
North America,,1750,,,11396206,
North America,,1760,,,12411277,
North America,,1770,,,13470946,
North America,,1780,,,14598427,
North America,,1790,,,15788577,
North America,,1800,,,14745403,
North America,,1801,,,14506664,
North America,,1802,,,14733662,
North America,,1803,,,14966652,
North America,,1804,,,15205815,
North America,,1805,,,15451352,
North America,,1806,,,15703478,
North America,,1807,,,15962416,
North America,,1808,,,16228407,
North America,,1809,,,16501714,
North America,,1810,,,17346020,
North America,,1811,,,17168190,
North America,,1812,,,17530114,
North America,,1813,,,17905210,
North America,,1814,,,18296295,
North America,,1815,,,18698200,
North America,,1816,,,19111256,
North America,,1817,,,19535795,
North America,,1818,,,19972164,
North America,,1819,,,20397212,
North America,,1820,,,21397893,
North America,,1821,,,21208453,
North America,,1822,,,21604611,
North America,,1823,,,21972009,
North America,,1824,,,22361625,
North America,,1825,,,22763852,
North America,,1826,,,23179102,
North America,,1827,,,23607797,
North America,,1828,,,24050385,
North America,,1829,,,24511843,
North America,,1830,,,25633683,
North America,,1831,,,25491153,
North America,,1832,,,26008850,
North America,,1833,,,26554254,
North America,,1834,,,27103458,
North America,,1835,,,27659879,
North America,,1836,,,28239150,
North America,,1837,,,28833568,
North America,,1838,,,29443559,
North America,,1839,,,30082208,
North America,,1840,,,31454754,
North America,,1841,,,31456494,
North America,,1842,,,32180988,
North America,,1843,,,32955355,
North America,,1844,,,33731492,
North America,,1845,,,34540056,
North America,,1846,,,35371745,
North America,,1847,,,36227256,
North America,,1848,,,37107333,
North America,,1849,,,38015252,
North America,,1850,,,39757631,
North America,,1851,,,39917221,
North America,,1852,,,40889813,
North America,,1853,,,41902955,
North America,,1854,,,42943727,
North America,,1855,,,44012926,
North America,,1856,,,45111361,
North America,,1857,,,46239872,
North America,,1858,,,47399324,
North America,,1859,,,48511644,
North America,,1860,,,50493357,
North America,,1861,,,50597728,
North America,,1862,,,51542680,
North America,,1863,,,52442886,
North America,,1864,,,53362533,
North America,,1865,,,54302055,
North America,,1866,,,55261898,
North America,,1867,,,56242524,
North America,,1868,,,57244394,
North America,,1869,,,58281938,
North America,,1870,,,60400931,
North America,,1871,,,60485302,
