"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2067679","2012","US","All States, DC and Territories (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.1","","","","","53","Overall","Overall","_RFDRHV4","1","1","","","","","",""
"2067219","2012","UW","All States and DC (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.1","","","","","51","Overall","Overall","_RFDRHV4","2","2","","","","","",""
"1918825","2012","AL","Alabama","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.2","","","4.5","6.0","345","Overall","Overall","_RFDRHV4","3","3","","","","","",""
"1921478","2012","AK","Alaska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.6","","","5.5","7.7","268","Overall","Overall","_RFDRHV4","4","4","","","","","",""
"1924849","2012","AZ","Arizona","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.1","","","4.3","5.9","371","Overall","Overall","_RFDRHV4","5","5","","","","","",""
"1927243","2012","AR","Arkansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.1","","","3.3","4.9","180","Overall","Overall","_RFDRHV4","6","6","","","","","",""
"1930380","2012","CA","California","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.8","","","5.2","6.4","766","Overall","Overall","_RFDRHV4","7","7","","","","","",""
"1932884","2012","CO","Colorado","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.5","","","5.9","7.1","723","Overall","Overall","_RFDRHV4","8","8","","","","","",""
"1936132","2012","CT","Connecticut","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.5","","","5.8","7.2","541","Overall","Overall","_RFDRHV4","9","9","","","","","",""
"1939072","2012","DE","Delaware","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.8","","","5.8","7.8","321","Overall","Overall","_RFDRHV4","10","10","","","","","",""
