"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"4607506","2021","US","All States, DC and Territories (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.8","**","** Median value reported with no confidence intervals.","","","53","Overall","Overall","MEDCOST1","1","1","","","","","",""
"4606795","2021","UW","All States and DC (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.7","**","** Median value reported with no confidence intervals.","","","50","Overall","Overall","MEDCOST1","2","2","","","","","",""
"4386226","2021","AL","Alabama","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","11.1","","","9.7","12.5","370","Overall","Overall","MEDCOST1","3","3","","","","","",""
"4389485","2021","AK","Alaska","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","10.8","","","9.4","12.2","473","Overall","Overall","MEDCOST1","4","4","","","","","",""
"4388920","2021","AZ","Arizona","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","10.5","","","9.6","11.4","886","Overall","Overall","MEDCOST1","5","5","","","","","",""
"4389633","2021","AR","Arkansas","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","11.7","","","10.2","13.2","363","Overall","Overall","MEDCOST1","6","6","","","","","",""
"4394841","2021","CA","California","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.2","","","8.3","10.1","614","Overall","Overall","MEDCOST1","7","7","","","","","",""
"4397760","2021","CO","Colorado","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.5","","","8.8","10.2","955","Overall","Overall","MEDCOST1","8","8","","","","","",""
"4410449","2021","CT","Connecticut","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.4","","","6.6","8.2","549","Overall","Overall","MEDCOST1","9","9","","","","","",""
"4416900","2021","DE","Delaware","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.4","","","6.2","8.6","235","Overall","Overall","MEDCOST1","10","10","","","","","",""
"4407282","2021","DC","District of Columbia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.6","","","5.3","7.8","166","Overall","Overall","MEDCOST1","11","11","","","","","",""
"4430927","2021","GA","Georgia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","15.5","","","14.2","16.8","952","Overall","Overall","MEDCOST1","13","13","","","","","",""
"4426999","2021","HI","Hawaii","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","5.3","","","4.6","6.0","404","Overall","Overall","MEDCOST1","14","14","","","","","",""
"4428522","2021","ID","Idaho","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.2","","","8.3","10.1","555","Overall","Overall","MEDCOST1","15","15","","","","","",""
"4422188","2021","IL","Illinois","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.8","","","8.5","11.1","283","Overall","Overall","MEDCOST1","16","16","","","","","",""
"4443694","2021","IN","Indiana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.6","","","7.9","9.4","708","Overall","Overall","MEDCOST1","17","17","","","","","",""
"4441205","2021","IA","Iowa","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.0","","","5.4","6.7","528","Overall","Overall","MEDCOST1","18","18","","","","","",""
"4443587","2021","KS","Kansas","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","10.0","","","9.3","10.6","1344","Overall","Overall","MEDCOST1","19","19","","","","","",""
"4454833","2021","KY","Kentucky","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.8","","","7.7","9.9","448","Overall","Overall","MEDCOST1","20","20","","","","","",""
"4454889","2021","LA","Louisiana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","11.6","","","10.4","12.8","480","Overall","Overall","MEDCOST1","21","21","","","","","",""
"4453867","2021","ME","Maine","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.6","","","6.8","8.4","659","Overall","Overall","MEDCOST1","22","22","","","","","",""
"4473808","2021","MD","Maryland","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.7","","","8.0","9.4","1082","Overall","Overall","MEDCOST1","23","23","","","","","",""
"4468010","2021","MA","Massachusetts","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.2","","","6.4","8.0","478","Overall","Overall","MEDCOST1","24","24","","","","","",""
"4465922","2021","MI","Michigan","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.9","","","7.1","8.6","592","Overall","Overall","MEDCOST1","25","25","","","","","",""
"4482838","2021","MN","Minnesota","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.6","","","6.1","7.1","942","Overall","Overall","MEDCOST1","26","26","","","","","",""
"4482625","2021","MS","Mississippi","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","13.1","","","11.7","14.4","495","Overall","Overall","MEDCOST1","27","27","","","","","",""
"4484181","2021","MO","Missouri","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","11.0","","","10.1","12.0","1162","Overall","Overall","MEDCOST1","28","28","","","","","",""
"4492074","2021","MT","Montana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.8","","","6.9","8.7","404","Overall","Overall","MEDCOST1","29","29","","","","","",""
"4492271","2021","NE","Nebraska","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.1","","","8.3","9.8","937","Overall","Overall","MEDCOST1","30","30","","","","","",""
"4496530","2021","NV","Nevada","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","12.7","","","10.8","14.5","285","Overall","Overall","MEDCOST1","31","31","","","","","",""
"4489941","2021","NH","New Hampshire","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.9","","","5.9","7.9","317","Overall","Overall","MEDCOST1","32","32","","","","","",""
"4510285","2021","NJ","New Jersey","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","9.1","","","8.3","9.9","777","Overall","Overall","MEDCOST1","33","33","","","","","",""
"4511287","2021","NM","New Mexico","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.5","","","7.6","9.4","534","Overall","Overall","MEDCOST1","34","34","","","","","",""
"4504161","2021","NY","New York","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.0","","","7.5","8.5","2322","Overall","Overall","MEDCOST1","35","35","","","","","",""
"4531672","2021","NC","North Carolina","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","10.6","","","9.5","11.8","493","Overall","Overall","MEDCOST1","36","36","","","","","",""
"4523498","2021","ND","North Dakota","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.6","","","5.6","7.6","250","Overall","Overall","MEDCOST1","37","37","","","","","",""
"4524293","2021","OH","Ohio","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.2","","","7.5","8.9","940","Overall","Overall","MEDCOST1","38","38","","","","","",""
"4537176","2021","OK","Oklahoma","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","14.4","","","13.1","15.6","576","Overall","Overall","MEDCOST1","39","39","","","","","",""
"4543613","2021","OR","Oregon","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","8.4","","","7.5","9.3","406","Overall","Overall","MEDCOST1","40","40","","","","","",""
"4535402","2021","PA","Pennsylvania","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.8","","","6.0","7.5","438","Overall","Overall","MEDCOST1","41","41","","","","","",""
"4549655","2021","RI","Rhode Island","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","6.9","","","5.9","7.9","322","Overall","Overall","MEDCOST1","42","42","","","","","",""
"4560811","2021","SC","South Carolina","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","11.7","","","10.7","12.8","802","Overall","Overall","MEDCOST1","43","43","","","","","",""
"4551708","2021","SD","South Dakota","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?","Yes","BRFSS","%","Crude Prevalence","7.8","","","6.3","9.3","482","Overall","Overall","MEDCOST1","44","44","","","","","",""
