"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1919112","2011","US","All States, DC and Territories (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.5","","","","","53","Overall","Overall","DIABETE3","1","1","","","","","",""
"1918508","2011","UW","All States and DC (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.5","","","","","51","Overall","Overall","DIABETE3","2","2","","","","","",""
"1774306","2011","AL","Alabama","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","11.8","","","10.9","12.7","1215","Overall","Overall","DIABETE3","3","3","","","","","",""
"1776522","2011","AK","Alaska","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","7.9","","","6.5","9.2","301","Overall","Overall","DIABETE3","4","4","","","","","",""
"1779722","2011","AZ","Arizona","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.5","","","8.3","10.7","808","Overall","Overall","DIABETE3","5","5","","","","","",""
"1782303","2011","AR","Arkansas","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","11.2","","","10.0","12.3","739","Overall","Overall","DIABETE3","6","6","","","","","",""
"1785070","2011","CA","California","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","8.9","","","8.3","9.5","1823","Overall","Overall","DIABETE3","7","7","","","","","",""
"1788148","2011","CO","Colorado","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","6.7","","","6.1","7.3","1212","Overall","Overall","DIABETE3","8","8","","","","","",""
"1790688","2011","CT","Connecticut","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.3","","","8.5","10.2","753","Overall","Overall","DIABETE3","9","9","","","","","",""
"1792788","2011","DE","Delaware","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.7","","","8.6","10.8","602","Overall","Overall","DIABETE3","10","10","","","","","",""
"1795873","2011","DC","District of Columbia","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.1","","","8.0","10.3","541","Overall","Overall","DIABETE3","11","11","","","","","",""
"1798491","2011","FL","Florida","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","10.4","","","9.7","11.1","1760","Overall","Overall","DIABETE3","12","12","","","","","",""
"1801652","2011","GA","Georgia","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","10.2","","","9.4","10.9","1482","Overall","Overall","DIABETE3","13","13","","","","","",""
"1804453","2011","HI","Hawaii","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","8.4","","","7.6","9.2","824","Overall","Overall","DIABETE3","14","14","","","","","",""
"1806871","2011","ID","Idaho","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.4","","","8.4","10.4","767","Overall","Overall","DIABETE3","15","15","","","","","",""
"1810062","2011","IL","Illinois","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","9.7","","","8.6","10.8","693","Overall","Overall","DIABETE3","16","16","","","","","",""
"1812697","2011","IN","Indiana","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","10.2","","","9.4","11.0","1181","Overall","Overall","DIABETE3","17","17","","","","","",""
"1815033","2011","IA","Iowa","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","8.2","","","7.5","8.9","801","Overall","Overall","DIABETE3","18","18","","","","","",""
