ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
3648964,2019,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.8,,,,,52,Overall,Overall,DIABETE4,1,1,,,,,,
3648793,2019,UW,All States and DC (median) **,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.7,,,,,50,Overall,Overall,DIABETE4,2,2,,,,,,
3426958,2019,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,14,,,13,14.9,1286,Overall,Overall,DIABETE4,3,3,,,,,,
3431241,2019,AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.3,,,6.1,8.5,300,Overall,Overall,DIABETE4,4,4,,,,,,
3435524,2019,AZ,Arizona,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.9,,,9.9,12,1263,Overall,Overall,DIABETE4,5,5,,,,,,
3439807,2019,AR,Arkansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,13.6,,,12.5,14.8,1004,Overall,Overall,DIABETE4,6,6,,,,,,
3444090,2019,CA,California,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.1,,,9.4,10.8,1303,Overall,Overall,DIABETE4,7,7,,,,,,
3448373,2019,CO,Colorado,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7,,,6.4,7.6,834,Overall,Overall,DIABETE4,8,8,,,,,,
3452656,2019,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.6,,,8.8,10.3,1068,Overall,Overall,DIABETE4,9,9,,,,,,
3456939,2019,DE,Delaware,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,12.8,,,11.4,14.2,562,Overall,Overall,DIABETE4,10,10,,,,,,
