"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2695387","2015","US","All States, DC and Territories (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.9","","","","","53","Overall","Overall","_FRTLT1","1","1","","","","","",""
"2694955","2015","UW","All States and DC (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.3","","","","","51","Overall","Overall","_FRTLT1","2","2","","","","","",""
"2468347","2015","AL","Alabama","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","51.7","","","50.1","53.3","3791","Overall","Overall","_FRTLT1","3","3","","","","","",""
"2472107","2015","AK","Alaska","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.0","","","56.2","61.8","2031","Overall","Overall","_FRTLT1","4","4","","","","","",""
"2476553","2015","AZ","Arizona","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.3","","","58.6","62.1","4585","Overall","Overall","_FRTLT1","5","5","","","","","",""
"2480893","2015","AR","Arkansas","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","50.4","","","47.9","52.9","2565","Overall","Overall","_FRTLT1","6","6","","","","","",""
"2484893","2015","CA","California","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.2","","","63.0","65.4","7257","Overall","Overall","_FRTLT1","7","7","","","","","",""
"2490261","2015","CO","Colorado","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.2","","","62.9","65.6","7513","Overall","Overall","_FRTLT1","8","8","","","","","",""
"2494261","2015","CT","Connecticut","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.5","","","63.1","65.8","7157","Overall","Overall","_FRTLT1","9","9","","","","","",""
"2498431","2015","DE","Delaware","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","61.8","","","59.5","64.1","2350","Overall","Overall","_FRTLT1","10","10","","","","","",""
"2503347","2015","DC","District of Columbia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.0","","","59.7","66.4","2454","Overall","Overall","_FRTLT1","11","11","","","","","",""
"2506637","2015","FL","Florida","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","61.0","","","59.5","62.5","5630","Overall","Overall","_FRTLT1","12","12","","","","","",""
"2510749","2015","GA","Georgia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","55.2","","","53.1","57.3","2400","Overall","Overall","_FRTLT1","13","13","","","","","",""
"2516187","2015","HI","Hawaii","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","58.7","","","57.1","60.4","4086","Overall","Overall","_FRTLT1","14","14","","","","","",""
"2519906","2015","ID","Idaho","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.6","","","58.6","62.6","3380","Overall","Overall","_FRTLT1","15","15","","","","","",""
"2524151","2015","IL","Illinois","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","61.5","","","59.7","63.3","3191","Overall","Overall","_FRTLT1","16","16","","","","","",""
"2529391","2015","IN","Indiana","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","57.2","","","55.2","59.1","3313","Overall","Overall","_FRTLT1","17","17","","","","","",""
"2533235","2015","IA","Iowa","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","58.3","","","56.5","60.0","3503","Overall","Overall","_FRTLT1","18","18","","","","","",""
"2537619","2015","KS","Kansas","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","56.3","","","55.4","57.1","12145","Overall","Overall","_FRTLT1","19","19","","","","","",""
"2542220","2015","KY","Kentucky","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","53.2","","","51.3","55.0","4465","Overall","Overall","_FRTLT1","20","20","","","","","",""
"2546366","2015","LA","Louisiana","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","49.7","","","47.7","51.8","2147","Overall","Overall","_FRTLT1","21","21","","","","","",""
"2550693","2015","ME","Maine","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.8","","","63.3","66.4","5861","Overall","Overall","_FRTLT1","22","22","","","","","",""
"2555300","2015","MD","Maryland","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.0","","","62.1","66.0","7468","Overall","Overall","_FRTLT1","23","23","","","","","",""
"2559376","2015","MA","Massachusetts","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","66.0","","","64.6","67.5","5383","Overall","Overall","_FRTLT1","24","24","","","","","",""
"2563739","2015","MI","Michigan","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.3","","","58.9","61.6","5298","Overall","Overall","_FRTLT1","25","25","","","","","",""
"2568030","2015","MN","Minnesota","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","62.9","","","61.9","63.9","10094","Overall","Overall","_FRTLT1","26","26","","","","","",""
"2571938","2015","MS","Mississippi","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","48.8","","","46.9","50.8","2901","Overall","Overall","_FRTLT1","27","27","","","","","",""
"2576555","2015","MO","Missouri","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","55.7","","","53.9","57.4","3928","Overall","Overall","_FRTLT1","28","28","","","","","",""
"2580687","2015","MT","Montana","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.7","","","58.8","62.6","3514","Overall","Overall","_FRTLT1","29","29","","","","","",""
"2585282","2015","NE","Nebraska","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","58.9","","","57.6","60.1","9873","Overall","Overall","_FRTLT1","30","30","","","","","",""
"2589710","2015","NV","Nevada","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.1","","","60.1","66.0","1709","Overall","Overall","_FRTLT1","31","31","","","","","",""
"2594038","2015","NH","New Hampshire","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","66.7","","","65.0","68.4","4437","Overall","Overall","_FRTLT1","32","32","","","","","",""
"2598313","2015","NJ","New Jersey","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.1","","","62.6","65.6","6734","Overall","Overall","_FRTLT1","33","33","","","","","",""
"2602615","2015","NM","New Mexico","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","56.9","","","54.9","58.9","3725","Overall","Overall","_FRTLT1","34","34","","","","","",""
"2607328","2015","NY","New York","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","62.6","","","61.4","63.9","7271","Overall","Overall","_FRTLT1","35","35","","","","","",""
"2610865","2015","NC","North Carolina","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","56.7","","","55.2","58.3","3597","Overall","Overall","_FRTLT1","36","36","","","","","",""
