"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1919094","2011","US","All States, DC and Territories (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","38.3","","","","","53","Overall","Overall","_RFCHOL","1","1","","","","","",""
"1918490","2011","UW","All States and DC (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","38.4","","","","","51","Overall","Overall","_RFCHOL","2","2","","","","","",""
"1774087","2011","AL","Alabama","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","42.0","","","40.3","43.6","3253","Overall","Overall","_RFCHOL","3","3","","","","","",""
"1776552","2011","AK","Alaska","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.4","","","32.0","36.8","1060","Overall","Overall","_RFCHOL","4","4","","","","","",""
"1779382","2011","AZ","Arizona","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","39.7","","","37.4","42.1","2571","Overall","Overall","_RFCHOL","5","5","","","","","",""
"1781688","2011","AR","Arkansas","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","40.4","","","38.2","42.6","1958","Overall","Overall","_RFCHOL","6","6","","","","","",""
"1785132","2011","CA","California","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","36.0","","","34.9","37.0","6301","Overall","Overall","_RFCHOL","7","7","","","","","",""
"1787060","2011","CO","Colorado","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.5","","","32.4","34.7","4809","Overall","Overall","_RFCHOL","8","8","","","","","",""
"1789897","2011","CT","Connecticut","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","36.2","","","34.5","37.8","2414","Overall","Overall","_RFCHOL","9","9","","","","","",""
"1793361","2011","DE","Delaware","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","40.6","","","38.5","42.7","1909","Overall","Overall","_RFCHOL","10","10","","","","","",""
