"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3649090","2019","US","All States, DC and Territories (median) **","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.1","","","","","52","Overall","Overall","_SMOKER3","1","1","","","","","",""
"3648919","2019","UW","All States and DC (median) **","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.1","","","","","50","Overall","Overall","_SMOKER3","2","2","","","","","",""
"3430071","2019","AL","Alabama","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","14.7","","","13.5","15.9","817","Overall","Overall","_SMOKER3","3","3","","","","","",""
"3434354","2019","AK","Alaska","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","12.1","","","10.1","14.1","326","Overall","Overall","_SMOKER3","4","4","","","","","",""
"3438637","2019","AZ","Arizona","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","9.5","","","8.3","10.6","759","Overall","Overall","_SMOKER3","5","5","","","","","",""
"3442920","2019","AR","Arkansas","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","14.4","","","12.9","15.9","598","Overall","Overall","_SMOKER3","6","6","","","","","",""
"3447203","2019","CA","California","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","5.8","","","5.2","6.3","659","Overall","Overall","_SMOKER3","7","7","","","","","",""
"3451486","2019","CO","Colorado","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","8.9","","","8.2","9.7","701","Overall","Overall","_SMOKER3","8","8","","","","","",""
"3455769","2019","CT","Connecticut","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","8.6","","","7.7","9.4","619","Overall","Overall","_SMOKER3","9","9","","","","","",""
"3460052","2019","DE","Delaware","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.0","","","9.5","12.5","372","Overall","Overall","_SMOKER3","10","10","","","","","",""
"3464335","2019","DC","District of Columbia","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","6.9","","","5.5","8.3","162","Overall","Overall","_SMOKER3","11","11","","","","","",""
"3468618","2019","FL","Florida","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","9.8","","","8.9","10.7","1900","Overall","Overall","_SMOKER3","12","12","","","","","",""
"3472901","2019","GA","Georgia","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.0","","","9.9","12.1","754","Overall","Overall","_SMOKER3","13","13","","","","","",""
"3477184","2019","HI","Hawaii","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","8.1","","","7.3","8.9","608","Overall","Overall","_SMOKER3","14","14","","","","","",""
"3481467","2019","ID","Idaho","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","10.2","","","9.0","11.5","522","Overall","Overall","_SMOKER3","15","15","","","","","",""
"3485750","2019","IL","Illinois","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","9.8","","","8.7","10.8","454","Overall","Overall","_SMOKER3","16","16","","","","","",""
"3490033","2019","IN","Indiana","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","14.1","","","13.1","15.1","1004","Overall","Overall","_SMOKER3","17","17","","","","","",""
"3494316","2019","IA","Iowa","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.9","","","11.1","12.6","1029","Overall","Overall","_SMOKER3","18","18","","","","","",""
"3498599","2019","KS","Kansas","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.6","","","10.8","12.4","1110","Overall","Overall","_SMOKER3","19","19","","","","","",""
"3502882","2019","KY","Kentucky","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","18.3","","","16.9","19.7","1223","Overall","Overall","_SMOKER3","20","20","","","","","",""
"3507165","2019","LA","Louisiana","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","15.6","","","14.1","17.1","589","Overall","Overall","_SMOKER3","21","21","","","","","",""
"3511448","2019","ME","Maine","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","13.9","","","12.8","15.0","1243","Overall","Overall","_SMOKER3","22","22","","","","","",""
