"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2270083","2013","US","All States, DC and Territories (median) **","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","76.9","","","","","53","Overall","Overall","_VEGLT1","1","1","","","","","",""
"2269635","2013","UW","All States and DC (median) **","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","77.1","","","","","51","Overall","Overall","_VEGLT1","2","2","","","","","",""
"2069715","2013","AL","Alabama","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","74.2","","","72.5","75.9","4489","Overall","Overall","_VEGLT1","3","3","","","","","",""
"2073596","2013","AK","Alaska","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","80.8","","","79.0","82.6","3462","Overall","Overall","_VEGLT1","4","4","","","","","",""
"2077512","2013","AZ","Arizona","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","76.2","","","73.7","78.8","3032","Overall","Overall","_VEGLT1","5","5","","","","","",""
"2081522","2013","AR","Arkansas","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","72.0","","","70.1","74.0","3500","Overall","Overall","_VEGLT1","6","6","","","","","",""
"2084586","2013","CA","California","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","82.7","","","81.6","83.9","8157","Overall","Overall","_VEGLT1","7","7","","","","","",""
"2089065","2013","CO","Colorado","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","80.9","","","80.0","81.9","9937","Overall","Overall","_VEGLT1","8","8","","","","","",""
"2092602","2013","CT","Connecticut","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","77.8","","","76.2","79.4","5598","Overall","Overall","_VEGLT1","9","9","","","","","",""
"2096885","2013","DE","Delaware","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","71.1","","","69.3","73.0","3504","Overall","Overall","_VEGLT1","10","10","","","","","",""
