Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number)
North America (WB),,1990,168.77,211.16,593191
North America (WB),,1991,167.68,211.14,599911
North America (WB),,1992,166.67,211.32,607127
North America (WB),,1993,168.06,214.65,623315
North America (WB),,1994,167.69,215.36,631803
North America (WB),,1995,167.48,216.67,642000
North America (WB),,1996,165.21,215.1,643604
North America (WB),,1997,162.77,213.47,644946
North America (WB),,1998,161.42,213.48,651234
North America (WB),,1999,161.13,214.45,660564
North America (WB),,2000,159.74,214.2,666260
North America (WB),,2001,158.2,213.48,670468
North America (WB),,2002,156.74,213.22,676110
North America (WB),,2003,154.58,212.27,679660
North America (WB),,2004,151.29,209.57,677646
North America (WB),,2005,149.88,209.95,685608
North America (WB),,2006,148.15,209.62,691470
North America (WB),,2007,146.44,209.79,699040
North America (WB),,2008,145.62,211.56,711868
North America (WB),,2009,144.1,212.03,720101
North America (WB),,2010,141.48,211.49,724577
North America (WB),,2011,140.65,213.34,737034
North America (WB),,2012,139.28,214.69,747616
North America (WB),,2013,137.97,216.36,759264
North America (WB),,2014,137.11,218.36,771992
North America (WB),,2015,136.09,220.38,784693
North America (WB),,2016,135.89,223.31,800351
North America (WB),,2017,134.8,225.32,812480
North America (WB),,2018,136.02,231.93,841088
North America (WB),,2019,136.93,237.86,867146
Puerto Rico,PRI,1990,126.45,125.12,4521
Puerto Rico,PRI,1991,125.47,126.84,4625
Puerto Rico,PRI,1992,125,128.95,4744
Puerto Rico,PRI,1993,125.45,131.92,4896
Puerto Rico,PRI,1994,122.36,131.1,4907
Puerto Rico,PRI,1995,125.15,136.6,5153
Puerto Rico,PRI,1996,123.68,137.8,5235
Puerto Rico,PRI,1997,117.2,133.28,5096
Puerto Rico,PRI,1998,121.11,140.49,5401
Puerto Rico,PRI,1999,115,136.19,5259
Puerto Rico,PRI,2000,113.23,136.96,5308
Puerto Rico,PRI,2001,113.98,141.14,5480
Puerto Rico,PRI,2002,108.58,137.82,5352
Puerto Rico,PRI,2003,108.51,141.24,5481
Puerto Rico,PRI,2004,108.95,145.38,5633
