Entity,Code,Year,Prevalence - Liver cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Kidney cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Larynx cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Breast cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Thyroid cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bladder cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Uterine cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Ovarian cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Stomach cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Prostate cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Cervical cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Testicular cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Pancreatic cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Esophageal cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Nasopharynx cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Colon and rectum cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Non-melanoma skin cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Lip and oral cavity cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Brain and nervous system cancer - Sex: Both - Age: Age-standardized (Percent),"Prevalence - Tracheal, bronchus, and lung cancer - Sex: Both - Age: Age-standardized (Percent)",Prevalence - Gallbladder and biliary tract cancer - Sex: Both - Age: Age-standardized (Percent),Prevalence - Neoplasms - Sex: Both - Age: Age-standardized (Percent)
North America,,1990,,,,,,,,,,,,,,,,,,,0.02643394,,,4.786570085
North America,,1991,,,,,,,,,,,,,,,,,,,0.02759019,,,4.867187058
North America,,1992,,,,,,,,,,,,,,,,,,,0.029191095,,,4.941041159
North America,,1993,,,,,,,,,,,,,,,,,,,0.031299007,,,5.022695157
North America,,1994,,,,,,,,,,,,,,,,,,,0.032880455,,,5.073776709
North America,,1995,,,,,,,,,,,,,,,,,,,0.034008069,,,5.111654869
North America,,1996,,,,,,,,,,,,,,,,,,,0.034986767,,,5.105699798
North America,,1997,,,,,,,,,,,,,,,,,,,0.035728612,,,5.064130544
North America,,1998,,,,,,,,,,,,,,,,,,,0.03640079,,,5.009210877
North America,,1999,,,,,,,,,,,,,,,,,,,0.037380237,,,4.972523829
North America,,2000,,,,,,,,,,,,,,,,,,,0.038099486,,,4.964068469
North America,,2001,,,,,,,,,,,,,,,,,,,0.038354277,,,4.985860028
North America,,2002,,,,,,,,,,,,,,,,,,,0.039231992,,,5.028109198
North America,,2003,,,,,,,,,,,,,,,,,,,0.039195614,,,5.062894725
North America,,2004,,,,,,,,,,,,,,,,,,,0.038698469,,,5.082786147
North America,,2005,,,,,,,,,,,,,,,,,,,0.038502737,,,5.101094277
North America,,2006,,,,,,,,,,,,,,,,,,,0.037863984,,,5.109505746
North America,,2007,,,,,,,,,,,,,,,,,,,0.038170236,,,5.145648696
North America,,2008,,,,,,,,,,,,,,,,,,,0.038743419,,,5.198968828
North America,,2009,,,,,,,,,,,,,,,,,,,0.039473991,,,5.253082748
North America,,2010,,,,,,,,,,,,,,,,,,,0.039625223,,,5.272471708
North America,,2011,,,,,,,,,,,,,,,,,,,0.040138772,,,5.2844416
North America,,2012,,,,,,,,,,,,,,,,,,,0.040410605,,,5.287545906
North America,,2013,,,,,,,,,,,,,,,,,,,0.040418585,,,5.288388568
North America,,2014,,,,,,,,,,,,,,,,,,,0.040359385,,,5.293745296
North America,,2015,,,,,,,,,,,,,,,,,,,0.040844603,,,5.305269801
North America,,2016,,,,,,,,,,,,,,,,,,,0.04146758,,,5.330518949
North America,,2017,,,,,,,,,,,,,,,,,,,0.041418534,,,5.337754415
North America (WB),,1990,0,0.07,0.03,0.69,0.04,0.05,0.09,0.03,0.02,0.47,0.04,0.04,0.01,0.01,0,0.29,0.33,0.04,,0.1,0,
North America (WB),,1991,0,0.07,0.03,0.7,0.04,0.05,0.09,0.03,0.02,0.49,0.04,0.04,0.01,0.01,0,0.3,0.35,0.04,,0.1,0,
North America (WB),,1992,0,0.07,0.03,0.71,0.04,0.05,0.09,0.03,0.02,0.51,0.04,0.04,0.01,0.01,0,0.3,0.36,0.04,,0.1,0,
North America (WB),,1993,0,0.07,0.03,0.72,0.04,0.05,0.09,0.03,0.02,0.52,0.04,0.04,0.01,0.01,0,0.31,0.37,0.04,,0.1,0,
North America (WB),,1994,0,0.07,0.03,0.72,0.04,0.06,0.09,0.03,0.02,0.54,0.04,0.04,0.01,0.01,0,0.31,0.38,0.04,,0.11,0,
North America (WB),,1995,0,0.08,0.03,0.72,0.04,0.06,0.1,0.03,0.02,0.54,0.04,0.04,0.01,0.01,0,0.31,0.38,0.04,,0.11,0,
North America (WB),,1996,0,0.08,0.03,0.72,0.04,0.06,0.1,0.03,0.02,0.55,0.04,0.04,0.01,0.01,0,0.31,0.36,0.04,,0.11,0,
North America (WB),,1997,0,0.08,0.03,0.72,0.04,0.06,0.1,0.03,0.02,0.54,0.04,0.04,0.01,0.01,0,0.31,0.31,0.04,,0.11,0,
North America (WB),,1998,0.01,0.08,0.03,0.71,0.04,0.06,0.1,0.03,0.02,0.54,0.04,0.04,0.01,0.01,0,0.31,0.26,0.04,,0.11,0,
