"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2465103","2014","US","All States, DC and Territories (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.1","","","","","53","Overall","Overall","MEDCOST","1","1","","","","","",""
"2464596","2014","UW","All States and DC (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.1","","","","","51","Overall","Overall","MEDCOST","2","2","","","","","",""
"2272893","2014","AL","Alabama","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.2","18.7","1249","Overall","Overall","MEDCOST","3","3","","","","","",""
"2275583","2014","AK","Alaska","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","11.9","","","10.5","13.4","447","Overall","Overall","MEDCOST","4","4","","","","","",""
"2280368","2014","AZ","Arizona","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","15.5","","","14.4","16.6","1623","Overall","Overall","MEDCOST","5","5","","","","","",""
"2283931","2014","AR","Arkansas","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","18.2","","","16.4","20.0","668","Overall","Overall","MEDCOST","6","6","","","","","",""
"2286876","2014","CA","California","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.5","","","12.5","14.4","1075","Overall","Overall","MEDCOST","7","7","","","","","",""
"2290608","2014","CO","Colorado","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.1","","","12.3","13.9","1383","Overall","Overall","MEDCOST","8","8","","","","","",""
"2295005","2014","CT","Connecticut","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","11.3","","","10.3","12.4","689","Overall","Overall","MEDCOST","9","9","","","","","",""
"2298240","2014","DE","Delaware","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.8","","","9.4","12.1","380","Overall","Overall","MEDCOST","10","10","","","","","",""
"2301583","2014","DC","District of Columbia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.5","","","8.6","12.5","261","Overall","Overall","MEDCOST","11","11","","","","","",""
"2305468","2014","FL","Florida","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","17.6","","","16.5","18.8","1229","Overall","Overall","MEDCOST","12","12","","","","","",""
"2308766","2014","GA","Georgia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","19.0","","","17.5","20.4","933","Overall","Overall","MEDCOST","13","13","","","","","",""
"2312897","2014","HI","Hawaii","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","8.7","","","7.8","9.7","656","Overall","Overall","MEDCOST","14","14","","","","","",""
"2317199","2014","ID","Idaho","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","15.8","","","14.3","17.3","677","Overall","Overall","MEDCOST","15","15","","","","","",""
"2320345","2014","IL","Illinois","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.4","","","11.0","13.7","485","Overall","Overall","MEDCOST","16","16","","","","","",""
