"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"4610683","2021","US","All States, DC and Territories (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.0","**","** Median value reported with no confidence intervals.","","","53","Overall","Overall","_FRTLT1A","1","1","","","","","",""
"4603682","2021","UW","All States and DC (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.2","**","** Median value reported with no confidence intervals.","","","50","Overall","Overall","_FRTLT1A","2","2","","","","","",""
"4375991","2021","AL","Alabama","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","54.2","","","52.2","56.2","2337","Overall","Overall","_FRTLT1A","3","3","","","","","",""
"4383521","2021","AK","Alaska","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","57.9","","","55.7","60.1","2938","Overall","Overall","_FRTLT1A","4","4","","","","","",""
"4385535","2021","AZ","Arizona","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","58.4","","","57.0","59.8","5726","Overall","Overall","_FRTLT1A","5","5","","","","","",""
"4402161","2021","AR","Arkansas","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","54.6","","","52.4","56.8","2676","Overall","Overall","_FRTLT1A","6","6","","","","","",""
"4389791","2021","CA","California","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.8","","","62.2","65.4","3932","Overall","Overall","_FRTLT1A","7","7","","","","","",""
"4400656","2021","CO","Colorado","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","61.9","","","60.7","63.1","5834","Overall","Overall","_FRTLT1A","8","8","","","","","",""
"4412896","2021","CT","Connecticut","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.6","","","63.0","66.2","4705","Overall","Overall","_FRTLT1A","9","9","","","","","",""
"4413733","2021","DE","Delaware","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","60.3","","","58.0","62.7","1931","Overall","Overall","_FRTLT1A","10","10","","","","","",""
"4409020","2021","DC","District of Columbia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","67.2","","","64.6","69.7","1830","Overall","Overall","_FRTLT1A","11","11","","","","","",""
"4421618","2021","GA","Georgia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.0","","","57.2","60.8","4037","Overall","Overall","_FRTLT1A","13","13","","","","","",""
