"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1919173","2011","US","All States, DC and Territories (median) **","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.7","","","","","53","Overall","Overall","_HCVU651","1","1","","","","","",""
"1918568","2011","UW","All States and DC (median) **","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.7","","","","","51","Overall","Overall","_HCVU651","2","2","","","","","",""
"1775013","2011","AL","Alabama","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.8","","","76.2","79.5","4061","Overall","Overall","_HCVU651","3","3","","","","","",""
"1777579","2011","AK","Alaska","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.6","","","75.3","79.9","2303","Overall","Overall","_HCVU651","4","4","","","","","",""
"1781280","2011","AZ","Arizona","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.6","","","75.0","80.2","3143","Overall","Overall","_HCVU651","5","5","","","","","",""
"1783980","2011","AR","Arkansas","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","70.7","","","67.9","73.4","2207","Overall","Overall","_HCVU651","6","6","","","","","",""
"1785715","2011","CA","California","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.5","","","77.5","79.5","10369","Overall","Overall","_HCVU651","7","7","","","","","",""
"1789387","2011","CO","Colorado","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","79.0","","","77.7","80.4","7835","Overall","Overall","_HCVU651","8","8","","","","","",""
"1792319","2011","CT","Connecticut","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","85.2","","","83.7","86.8","4085","Overall","Overall","_HCVU651","9","9","","","","","",""
"1795104","2011","DE","Delaware","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","87.4","","","85.7","89.1","2808","Overall","Overall","_HCVU651","10","10","","","","","",""
"1797143","2011","DC","District of Columbia","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","91.5","","","89.8","93.1","2839","Overall","Overall","_HCVU651","11","11","","","","","",""
"1799846","2011","FL","Florida","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","70.0","","","68.3","71.6","5602","Overall","Overall","_HCVU651","12","12","","","","","",""
"1803223","2011","GA","Georgia","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","71.0","","","69.3","72.8","5334","Overall","Overall","_HCVU651","13","13","","","","","",""
"1805800","2011","HI","Hawaii","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","88.6","","","87.3","90.0","4501","Overall","Overall","_HCVU651","14","14","","","","","",""
"1808099","2011","ID","Idaho","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","73.5","","","71.3","75.7","3166","Overall","Overall","_HCVU651","15","15","","","","","",""
"1810626","2011","IL","Illinois","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","80.0","","","78.0","82.1","3132","Overall","Overall","_HCVU651","16","16","","","","","",""
"1814147","2011","IN","Indiana","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","76.4","","","74.9","77.9","4540","Overall","Overall","_HCVU651","17","17","","","","","",""
"1816668","2011","IA","Iowa","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","85.8","","","84.5","87.1","4218","Overall","Overall","_HCVU651","18","18","","","","","",""
"1819232","2011","KS","Kansas","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","79.9","","","79.0","80.8","11775","Overall","Overall","_HCVU651","19","19","","","","","",""
"1821596","2011","KY","Kentucky","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.7","","","76.1","79.4","5925","Overall","Overall","_HCVU651","20","20","","","","","",""
"1824921","2011","LA","Louisiana","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","73.2","","","71.6","74.9","5511","Overall","Overall","_HCVU651","21","21","","","","","",""
"1827119","2011","ME","Maine","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","84.7","","","83.6","85.8","7705","Overall","Overall","_HCVU651","22","22","","","","","",""
"1830347","2011","MD","Maryland","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","84.7","","","83.3","86.2","6341","Overall","Overall","_HCVU651","23","23","","","","","",""
"1833258","2011","MA","Massachusetts","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","92.3","","","91.5","93.0","14511","Overall","Overall","_HCVU651","24","24","","","","","",""
"1835975","2011","MI","Michigan","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","81.7","","","80.4","83.0","6148","Overall","Overall","_HCVU651","25","25","","","","","",""
"1838072","2011","MN","Minnesota","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","86.5","","","85.5","87.6","10213","Overall","Overall","_HCVU651","26","26","","","","","",""
"1840633","2011","MS","Mississippi","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","69.3","","","67.6","70.9","4393","Overall","Overall","_HCVU651","27","27","","","","","",""
"1844306","2011","MO","Missouri","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.7","","","76.9","80.4","3401","Overall","Overall","_HCVU651","28","28","","","","","",""
"1847033","2011","MT","Montana","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.9","","","74.4","77.5","5486","Overall","Overall","_HCVU651","29","29","","","","","",""
"1849362","2011","NE","Nebraska","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","80.9","","","80.0","81.7","13965","Overall","Overall","_HCVU651","30","30","","","","","",""
"1852049","2011","NV","Nevada","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","67.9","","","65.2","70.6","2895","Overall","Overall","_HCVU651","31","31","","","","","",""
"1855314","2011","NH","New Hampshire","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","84.0","","","82.5","85.5","3878","Overall","Overall","_HCVU651","32","32","","","","","",""
"1857834","2011","NJ","New Jersey","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","82.1","","","81.0","83.2","9157","Overall","Overall","_HCVU651","33","33","","","","","",""
"1860209","2011","NM","New Mexico","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","73.9","","","72.4","75.4","5048","Overall","Overall","_HCVU651","34","34","","","","","",""
"1862878","2011","NY","New York","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","82.7","","","81.2","84.2","4643","Overall","Overall","_HCVU651","35","35","","","","","",""
"1865495","2011","NC","North Carolina","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.1","","","73.5","76.7","6078","Overall","Overall","_HCVU651","36","36","","","","","",""
"1868703","2011","ND","North Dakota","Health Care Access/Coverage","Under 65 Coverage","Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","83.8","","","82.1","85.6","3153","Overall","Overall","_HCVU651","37","37","","","","","",""
