"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3160065","2017","US","All States, DC and Territories (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.0","","","","","53","Overall","Overall","_RFCHOL1","1","1","","","","","",""
"3160011","2017","UW","All States and DC (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.0","","","","","51","Overall","Overall","_RFCHOL1","2","2","","","","","",""
"2925304","2017","AL","Alabama","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","37.2","","","35.6","38.7","2668","Overall","Overall","_RFCHOL1","3","3","","","","","",""
"2930130","2017","AK","Alaska","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","31.3","","","28.5","34.0","1038","Overall","Overall","_RFCHOL1","4","4","","","","","",""
"2934382","2017","AZ","Arizona","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.4","","","32.4","34.4","5472","Overall","Overall","_RFCHOL1","5","5","","","","","",""
"2939080","2017","AR","Arkansas","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","36.8","","","34.5","39.2","2246","Overall","Overall","_RFCHOL1","6","6","","","","","",""
"2943125","2017","CA","California","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","30.8","","","29.4","32.1","2687","Overall","Overall","_RFCHOL1","7","7","","","","","",""
"2947337","2017","CO","Colorado","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","30.3","","","29.1","31.4","3127","Overall","Overall","_RFCHOL1","8","8","","","","","",""
"2952354","2017","CT","Connecticut","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.3","","","31.0","33.5","3779","Overall","Overall","_RFCHOL1","9","9","","","","","",""
"2955919","2017","DE","Delaware","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.6","","","32.5","36.8","1423","Overall","Overall","_RFCHOL1","10","10","","","","","",""
"2960867","2017","DC","District of Columbia","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","27.9","","","26.0","29.8","1226","Overall","Overall","_RFCHOL1","11","11","","","","","",""
"2965432","2017","FL","Florida","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","35.9","","","34.3","37.4","7792","Overall","Overall","_RFCHOL1","12","12","","","","","",""
"2969518","2017","GA","Georgia","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","31.1","","","29.6","32.6","2062","Overall","Overall","_RFCHOL1","13","13","","","","","",""
"2974244","2017","HI","Hawaii","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","31.8","","","30.3","33.2","2407","Overall","Overall","_RFCHOL1","14","14","","","","","",""
"2977608","2017","ID","Idaho","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","30.8","","","29.0","32.6","1546","Overall","Overall","_RFCHOL1","15","15","","","","","",""
"2982567","2017","IL","Illinois","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.5","","","31.0","34.1","1941","Overall","Overall","_RFCHOL1","16","16","","","","","",""
"2986745","2017","IN","Indiana","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.1","","","33.0","35.2","5227","Overall","Overall","_RFCHOL1","17","17","","","","","",""
"2991912","2017","IA","Iowa","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.1","","","32.8","35.4","2616","Overall","Overall","_RFCHOL1","18","18","","","","","",""
"2996165","2017","KS","Kansas","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.1","","","33.3","34.9","7314","Overall","Overall","_RFCHOL1","19","19","","","","","",""
"3000722","2017","KY","Kentucky","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","38.1","","","36.3","39.9","3270","Overall","Overall","_RFCHOL1","20","20","","","","","",""
"3005022","2017","LA","Louisiana","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","37.6","","","35.7","39.4","1770","Overall","Overall","_RFCHOL1","21","21","","","","","",""
"3009731","2017","ME","Maine","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","37.4","","","35.9","39.0","3762","Overall","Overall","_RFCHOL1","22","22","","","","","",""
"3013731","2017","MD","Maryland","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.5","","","31.3","33.8","5373","Overall","Overall","_RFCHOL1","23","23","","","","","",""
