"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2269892","2013","US","All States, DC and Territories (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.2","","","","","53","Overall","Overall","_RFDRHV4","1","1","","","","","",""
"2270397","2013","UW","All States and DC (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.2","","","","","51","Overall","Overall","_RFDRHV4","2","2","","","","","",""
"2068293","2013","AL","Alabama","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.3","","","3.6","5.0","234","Overall","Overall","_RFDRHV4","3","3","","","","","",""
"2071486","2013","AK","Alaska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","8.2","","","7.0","9.4","343","Overall","Overall","_RFDRHV4","4","4","","","","","",""
"2075221","2013","AZ","Arizona","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.3","","","4.8","7.8","238","Overall","Overall","_RFDRHV4","5","5","","","","","",""
"2079032","2013","AR","Arkansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.0","","","4.0","5.9","192","Overall","Overall","_RFDRHV4","6","6","","","","","",""
"2082584","2013","CA","California","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.4","","","5.7","7.0","652","Overall","Overall","_RFDRHV4","7","7","","","","","",""
"2087338","2013","CO","Colorado","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.7","","","6.1","7.3","773","Overall","Overall","_RFDRHV4","8","8","","","","","",""
"2091192","2013","CT","Connecticut","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.3","","","5.4","7.2","397","Overall","Overall","_RFDRHV4","9","9","","","","","",""
"2094720","2013","DE","Delaware","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.6","","","5.6","7.6","304","Overall","Overall","_RFDRHV4","10","10","","","","","",""
"2098043","2013","DC","District of Columbia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.4","","","5.3","7.6","319","Overall","Overall","_RFDRHV4","11","11","","","","","",""
"2102286","2013","FL","Florida","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.2","","","6.5","7.8","2075","Overall","Overall","_RFDRHV4","12","12","","","","","",""
"2105574","2013","GA","Georgia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.7","","","4.0","5.3","331","Overall","Overall","_RFDRHV4","13","13","","","","","",""
"2110317","2013","HI","Hawaii","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.6","","","6.7","8.5","578","Overall","Overall","_RFDRHV4","14","14","","","","","",""
"2113929","2013","ID","Idaho","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.2","","","5.3","7.2","311","Overall","Overall","_RFDRHV4","15","15","","","","","",""
"2117058","2013","IL","Illinois","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.5","","","5.6","7.5","318","Overall","Overall","_RFDRHV4","16","16","","","","","",""
"2121145","2013","IN","Indiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.2","","","4.6","5.8","456","Overall","Overall","_RFDRHV4","17","17","","","","","",""
"2124587","2013","IA","Iowa","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.5","","","5.7","7.3","417","Overall","Overall","_RFDRHV4","18","18","","","","","",""
"2129362","2013","KS","Kansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.6","","","4.2","4.9","916","Overall","Overall","_RFDRHV4","19","19","","","","","",""
"2132492","2013","KY","Kentucky","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.9","","","4.2","5.6","365","Overall","Overall","_RFDRHV4","20","20","","","","","",""
"2136498","2013","LA","Louisiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.3","","","5.1","7.5","250","Overall","Overall","_RFDRHV4","21","21","","","","","",""
"2140193","2013","ME","Maine","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.2","","","6.5","8.0","548","Overall","Overall","_RFDRHV4","22","22","","","","","",""
"2144207","2013","MD","Maryland","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","5.2","","","4.6","5.8","631","Overall","Overall","_RFDRHV4","23","23","","","","","",""
"2147589","2013","MA","Massachusetts","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.5","","","6.7","8.2","894","Overall","Overall","_RFDRHV4","24","24","","","","","",""
"2151501","2013","MI","Michigan","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.3","","","5.7","6.8","770","Overall","Overall","_RFDRHV4","25","25","","","","","",""
"2155778","2013","MN","Minnesota","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.3","","","6.5","8.1","874","Overall","Overall","_RFDRHV4","26","26","","","","","",""
"2159151","2013","MS","Mississippi","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","4.2","","","3.5","5.0","235","Overall","Overall","_RFDRHV4","27","27","","","","","",""
"2163080","2013","MO","Missouri","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.0","","","5.1","6.9","310","Overall","Overall","_RFDRHV4","28","28","","","","","",""
"2166958","2013","MT","Montana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","7.7","","","7.0","8.5","664","Overall","Overall","_RFDRHV4","29","29","","","","","",""
"2171292","2013","NE","Nebraska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","6.8","","","6.1","7.4","864","Overall","Overall","_RFDRHV4","30","30","","","","","",""
