"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3649040","2019","US","All States, DC and Territories (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.6","","","","","52","Overall","Overall","MEDCOST","1","1","","","","","",""
"3648869","2019","UW","All States and DC (median) **","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.4","","","","","50","Overall","Overall","MEDCOST","2","2","","","","","",""
"3428789","2019","AL","Alabama","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","18.1","","","16.8","19.5","1026","Overall","Overall","MEDCOST","3","3","","","","","",""
"3433072","2019","AK","Alaska","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.5","","","11.2","15.8","305","Overall","Overall","MEDCOST","4","4","","","","","",""
"3437355","2019","AZ","Arizona","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.9","","","12.6","15.3","991","Overall","Overall","MEDCOST","5","5","","","","","",""
"3441638","2019","AR","Arkansas","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","15.7","","","14.1","17.3","565","Overall","Overall","MEDCOST","6","6","","","","","",""
"3445921","2019","CA","California","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","11.9","","","11.1","12.6","1410","Overall","Overall","MEDCOST","7","7","","","","","",""
"3450204","2019","CO","Colorado","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.1","","","11.3","12.9","947","Overall","Overall","MEDCOST","8","8","","","","","",""
"3454487","2019","CT","Connecticut","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","9.9","","","9.0","10.8","734","Overall","Overall","MEDCOST","9","9","","","","","",""
"3458770","2019","DE","Delaware","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.6","","","9.2","12.0","415","Overall","Overall","MEDCOST","10","10","","","","","",""
"3463053","2019","DC","District of Columbia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.4","","","8.8","12.0","222","Overall","Overall","MEDCOST","11","11","","","","","",""
"3467336","2019","FL","Florida","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","16.0","","","14.8","17.3","2432","Overall","Overall","MEDCOST","12","12","","","","","",""
"3471619","2019","GA","Georgia","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","17.8","","","16.3","19.3","1163","Overall","Overall","MEDCOST","13","13","","","","","",""
"3475902","2019","HI","Hawaii","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","8.2","","","7.3","9.1","594","Overall","Overall","MEDCOST","14","14","","","","","",""
"3480185","2019","ID","Idaho","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","14.5","","","13.0","16.1","685","Overall","Overall","MEDCOST","15","15","","","","","",""
"3484468","2019","IL","Illinois","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.3","","","12.2","14.5","638","Overall","Overall","MEDCOST","16","16","","","","","",""
"3488751","2019","IN","Indiana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.6","","","11.7","13.5","892","Overall","Overall","MEDCOST","17","17","","","","","",""
"3493034","2019","IA","Iowa","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","8.5","","","7.8","9.2","725","Overall","Overall","MEDCOST","18","18","","","","","",""
"3497317","2019","KS","Kansas","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","13.2","","","12.3","14.0","1167","Overall","Overall","MEDCOST","19","19","","","","","",""
"3501600","2019","KY","Kentucky","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.2","","","11.0","13.3","838","Overall","Overall","MEDCOST","20","20","","","","","",""
"3505883","2019","LA","Louisiana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","14.8","","","13.5","16.2","638","Overall","Overall","MEDCOST","21","21","","","","","",""
"3510166","2019","ME","Maine","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","12.3","","","11.2","13.4","1055","Overall","Overall","MEDCOST","22","22","","","","","",""
"3514449","2019","MD","Maryland","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.9","","","10.1","11.7","1394","Overall","Overall","MEDCOST","23","23","","","","","",""
"3518732","2019","MA","Massachusetts","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","8.7","","","7.8","9.5","608","Overall","Overall","MEDCOST","24","24","","","","","",""
"3523015","2019","MI","Michigan","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","11.7","","","10.8","12.6","1022","Overall","Overall","MEDCOST","25","25","","","","","",""
"3527298","2019","MN","Minnesota","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.0","","","9.4","10.6","1408","Overall","Overall","MEDCOST","26","26","","","","","",""
"3531581","2019","MS","Mississippi","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","17.2","","","15.8","18.7","757","Overall","Overall","MEDCOST","27","27","","","","","",""
"3535864","2019","MO","Missouri","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","14.3","","","13.1","15.5","847","Overall","Overall","MEDCOST","28","28","","","","","",""
"3540147","2019","MT","Montana","Health Care Access/Coverage","Health Care Cost","Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?","Yes","BRFSS","%","Crude Prevalence","10.3","","","9.3","11.3","557","Overall","Overall","MEDCOST","29","29","","","","","",""
