"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3160384","2017","US","All States, DC and Territories (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.2","","","","","53","Overall","Overall","_FRTLT1A","1","1","","","","","",""
"3160316","2017","UW","All States and DC (median) **","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.4","","","","","51","Overall","Overall","_FRTLT1A","2","2","","","","","",""
"2927786","2017","AL","Alabama","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","55.2","","","53.4","56.9","3523","Overall","Overall","_FRTLT1A","3","3","","","","","",""
"2931702","2017","AK","Alaska","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.1","","","60.1","66.1","1887","Overall","Overall","_FRTLT1A","4","4","","","","","",""
"2937213","2017","AZ","Arizona","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.0","","","61.9","64.1","9048","Overall","Overall","_FRTLT1A","5","5","","","","","",""
"2940581","2017","AR","Arkansas","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","55.6","","","53.0","58.3","2870","Overall","Overall","_FRTLT1A","6","6","","","","","",""
"2945636","2017","CA","California","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","67.5","","","66.1","68.9","5710","Overall","Overall","_FRTLT1A","7","7","","","","","",""
"2949867","2017","CO","Colorado","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","67.0","","","65.7","68.2","5904","Overall","Overall","_FRTLT1A","8","8","","","","","",""
"2954240","2017","CT","Connecticut","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","68.8","","","67.4","70.1","6769","Overall","Overall","_FRTLT1A","9","9","","","","","",""
"2959050","2017","DE","Delaware","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.6","","","62.4","66.9","2434","Overall","Overall","_FRTLT1A","10","10","","","","","",""
"2963084","2017","DC","District of Columbia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","68.9","","","66.7","71.1","2497","Overall","Overall","_FRTLT1A","11","11","","","","","",""
"2968403","2017","FL","Florida","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","65.7","","","64.2","67.3","12511","Overall","Overall","_FRTLT1A","12","12","","","","","",""
"2971868","2017","GA","Georgia","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","61.4","","","59.7","63.1","3392","Overall","Overall","_FRTLT1A","13","13","","","","","",""
"2976777","2017","HI","Hawaii","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","63.0","","","61.4","64.6","4772","Overall","Overall","_FRTLT1A","14","14","","","","","",""
"2980559","2017","ID","Idaho","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.6","","","62.7","66.5","3051","Overall","Overall","_FRTLT1A","15","15","","","","","",""
"2985241","2017","IL","Illinois","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","66.7","","","65.0","68.4","3607","Overall","Overall","_FRTLT1A","16","16","","","","","",""
"2990370","2017","IN","Indiana","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","59.4","","","58.2","60.5","7909","Overall","Overall","_FRTLT1A","17","17","","","","","",""
"2994010","2017","IA","Iowa","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","64.4","","","63.1","65.7","4720","Overall","Overall","_FRTLT1A","18","18","","","","","",""
"2999069","2017","KS","Kansas","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","62.5","","","61.6","63.3","12512","Overall","Overall","_FRTLT1A","19","19","","","","","",""
"3003433","2017","KY","Kentucky","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","57.3","","","55.6","59.1","4610","Overall","Overall","_FRTLT1A","20","20","","","","","",""
"3007874","2017","LA","Louisiana","Fruits and Vegetables","Fruit Consumption","Consumed fruit less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","55.0","","","53.0","57.0","2390","Overall","Overall","_FRTLT1A","21","21","","","","","",""
