"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3648938","2019","US","All States, DC and Territories (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.1","","","","","52","Overall","Overall","_RFCHOL2","1","1","","","","","",""
"3648767","2019","UW","All States and DC (median) **","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.1","","","","","50","Overall","Overall","_RFCHOL2","2","2","","","","","",""
"3426282","2019","AL","Alabama","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","36.9","","","35.4","38.4","2703","Overall","Overall","_RFCHOL2","3","3","","","","","",""
"3430565","2019","AK","Alaska","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","28.6","","","26.0","31.2","911","Overall","Overall","_RFCHOL2","4","4","","","","","",""
"3434848","2019","AZ","Arizona","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.4","","","31.7","35.2","3141","Overall","Overall","_RFCHOL2","5","5","","","","","",""
"3439131","2019","AR","Arkansas","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","37.4","","","35.5","39.2","2227","Overall","Overall","_RFCHOL2","6","6","","","","","",""
"3443414","2019","CA","California","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","29.9","","","28.8","31.0","3389","Overall","Overall","_RFCHOL2","7","7","","","","","",""
"3447697","2019","CO","Colorado","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","29.9","","","28.7","31.0","2891","Overall","Overall","_RFCHOL2","8","8","","","","","",""
"3451980","2019","CT","Connecticut","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","34.5","","","33.2","35.8","3393","Overall","Overall","_RFCHOL2","9","9","","","","","",""
"3456263","2019","DE","Delaware","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","35.4","","","33.2","37.6","1352","Overall","Overall","_RFCHOL2","10","10","","","","","",""
"3460546","2019","DC","District of Columbia","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","28.2","","","26.0","30.4","868","Overall","Overall","_RFCHOL2","11","11","","","","","",""
"3464829","2019","FL","Florida","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.4","","","31.8","35.0","5930","Overall","Overall","_RFCHOL2","12","12","","","","","",""
"3469112","2019","GA","Georgia","Cholesterol Awareness","Cholesterol High","Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.4","","","30.7","34.2","2545","Overall","Overall","_RFCHOL2","13","13","","","","","",""
