"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2465392","2014","US","All States, DC and Territories (median) **","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","12.9","","","","","53","Overall","Overall","_SMOKER3","1","1","","","","","",""
"2464648","2014","UW","All States and DC (median) **","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","12.9","","","","","51","Overall","Overall","_SMOKER3","2","2","","","","","",""
"2274057","2014","AL","Alabama","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","14.8","","","13.6","15.9","1048","Overall","Overall","_SMOKER3","3","3","","","","","",""
"2277665","2014","AK","Alaska","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","13.5","","","12.0","14.9","523","Overall","Overall","_SMOKER3","4","4","","","","","",""
"2281164","2014","AZ","Arizona","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.1","","","10.1","12.0","1266","Overall","Overall","_SMOKER3","5","5","","","","","",""
"2285266","2014","AR","Arkansas","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","17.7","","","15.9","19.5","643","Overall","Overall","_SMOKER3","6","6","","","","","",""
"2288697","2014","CA","California","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","7.7","","","7.0","8.4","610","Overall","Overall","_SMOKER3","7","7","","","","","",""
"2291936","2014","CO","Colorado","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","10.7","","","10.0","11.4","1094","Overall","Overall","_SMOKER3","8","8","","","","","",""
"2296297","2014","CT","Connecticut","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","10.2","","","9.1","11.3","592","Overall","Overall","_SMOKER3","9","9","","","","","",""
"2299711","2014","DE","Delaware","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","14.7","","","13.0","16.4","483","Overall","Overall","_SMOKER3","10","10","","","","","",""
"2303431","2014","DC","District of Columbia","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","10.0","","","8.3","11.8","291","Overall","Overall","_SMOKER3","11","11","","","","","",""
"2306789","2014","FL","Florida","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","11.6","","","10.6","12.5","884","Overall","Overall","_SMOKER3","12","12","","","","","",""
"2310466","2014","GA","Georgia","Tobacco Use","Smoker Status","Four Level Smoking Status (variable calculated from one or more BRFSS questions)","Smoke everyday","BRFSS","%","Crude Prevalence","12.4","","","11.1","13.6","599","Overall","Overall","_SMOKER3","13","13","","","","","",""
