"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2695389","2015","US","All States, DC and Territories (median) **","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","77.7","","","","","53","Overall","Overall","_VEGLT1","1","1","","","","","",""
"2694957","2015","UW","All States and DC (median) **","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","77.9","","","","","51","Overall","Overall","_VEGLT1","2","2","","","","","",""
"2468399","2015","AL","Alabama","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","72.2","","","70.6","73.7","5130","Overall","Overall","_VEGLT1","3","3","","","","","",""
"2472473","2015","AK","Alaska","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","81.1","","","78.9","83.3","2673","Overall","Overall","_VEGLT1","4","4","","","","","",""
"2477128","2015","AZ","Arizona","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","79.5","","","78.0","81.0","5651","Overall","Overall","_VEGLT1","5","5","","","","","",""
"2480945","2015","AR","Arkansas","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","71.9","","","69.5","74.3","3384","Overall","Overall","_VEGLT1","6","6","","","","","",""
"2485668","2015","CA","California","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","81.4","","","80.4","82.4","8995","Overall","Overall","_VEGLT1","7","7","","","","","",""
"2490313","2015","CO","Colorado","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","82.2","","","81.1","83.3","9368","Overall","Overall","_VEGLT1","8","8","","","","","",""
"2493870","2015","CT","Connecticut","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","80.6","","","79.4","81.7","8513","Overall","Overall","_VEGLT1","9","9","","","","","",""
"2498635","2015","DE","Delaware","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","79.3","","","77.4","81.3","2852","Overall","Overall","_VEGLT1","10","10","","","","","",""
"2502787","2015","DC","District of Columbia","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","81.0","","","78.2","83.7","2828","Overall","Overall","_VEGLT1","11","11","","","","","",""
"2507242","2015","FL","Florida","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","78.7","","","77.4","80.0","6839","Overall","Overall","_VEGLT1","12","12","","","","","",""
"2511726","2015","GA","Georgia","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","75.3","","","73.4","77.2","3147","Overall","Overall","_VEGLT1","13","13","","","","","",""
"2516239","2015","HI","Hawaii","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","78.6","","","77.1","80.0","5186","Overall","Overall","_VEGLT1","14","14","","","","","",""
"2519958","2015","ID","Idaho","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","81.4","","","79.7","83.0","4297","Overall","Overall","_VEGLT1","15","15","","","","","",""
"2524493","2015","IL","Illinois","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","75.7","","","74.1","77.3","3784","Overall","Overall","_VEGLT1","16","16","","","","","",""
"2529443","2015","IN","Indiana","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","73.3","","","71.5","75.1","4063","Overall","Overall","_VEGLT1","17","17","","","","","",""
"2533287","2015","IA","Iowa","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","73.1","","","71.5","74.7","4172","Overall","Overall","_VEGLT1","18","18","","","","","",""
"2537671","2015","KS","Kansas","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","77.7","","","77.0","78.4","15850","Overall","Overall","_VEGLT1","19","19","","","","","",""
"2542307","2015","KY","Kentucky","Fruits and Vegetables","Vegetable Consumption","Consumed vegetables less than one time per day (variable calculated from one or more BRFSS questions)","One or more times per day","BRFSS","%","Crude Prevalence","75.4","","","73.8","77.0","5925","Overall","Overall","_VEGLT1","20","20","","","","","",""
