State,Percentage Affected by Smoking,Percentage Affected by Obesity,Percentage Affected by No Excercise,Area,Cancer Type,Duration,Sex,Race,Prevalence Count,Prevalence Percentage
Alabama,43.94,36.69,30.67,Alabama,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,85304,1.74097026
Alaska,43.22,30.1,19.63,Alaska,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9984,1.35815762
Arizona,40.35,30.6,22.13,Arizona,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,105926,1.4654881
Arkansas,47.06,37.59,30.97,Arkansas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,54790,1.81629949
California,33.45,26.38,20.98,California,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,582663,1.47743255
Colorado,40.43,23.45,16.39,Colorado,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,83111,1.45100567
Connecticut,39.47,28.17,22.36,Connecticut,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Delaware,42.27,34.37,26.78,Delaware,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,19763,2.03359345
District of Columbia,34.72,25.15,19.58,District of Columbia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9740,1.37921269
Florida,41.89,31.17,26.8,Florida,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,423510,1.98147322
Georgia,37.64,33.01,26.24,Georgia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,171859,1.62534332
Hawaii,39.4,25.18,19.86,Hawaii,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Idaho,38.19,29.6,20.47,Idaho,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,28386,1.60321524
Illinois,38.29,32.25,24.56,Illinois,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,228852,1.80257314
Indiana,45.03,34.79,27.35,Indiana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,115135,1.71465918
Iowa,41.03,36.28,22.93,Iowa,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Kansas,41.85,35.25,22.53,Kansas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,52542,1.80389856
Kentucky,50.4,37.58,32.44,Kentucky,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,86240,1.93003662
Louisiana,43.17,37.08,30.83,Louisiana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,83267,1.78632129
Maine,49.73,30.78,22.53,Maine,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,29287,2.18080169
Maryland,36.02,31.61,22.95,Maryland,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,106764,1.76511624
Massachusetts,38.5,26.4,22.43,Massachusetts,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Michigan,45.38,33.89,23.85,Michigan,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Minnesota,41.05,30.58,20.54,Minnesota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,105566,1.87692659
Mississippi,42.85,39.88,32.01,Mississippi,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,52310,1.75504344
Missouri,44.08,35.8,26.11,Missouri,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,107626,1.75480116
Montana,44.48,27.78,22.74,Montana,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,21369,2.0046521
Nebraska,39.73,34.8,23.77,Nebraska,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,34201,1.77295304
Nevada,41.46,30.5,24.97,Nevada,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
New Hampshire,45.18,30.09,21.51,New Hampshire,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,29190,2.14960563
New Jersey,37.06,26.28,28.53,New Jersey,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,179455,2.01827724
New Mexico,40.71,32.93,22.16,New Mexico,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
New York,36.31,28.04,23.84,New York,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,390876,2.00412083
North Carolina,43.03,33.79,23.9,North Carolina,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,189547,1.81447701
North Dakota,42.73,36.62,22.26,North Dakota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,13123,1.72242034
Ohio,45.77,34.64,25.45,Ohio,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,217397,1.8598904
Oklahoma,44.52,35.63,27.2,Oklahoma,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,62806,1.58918767
