State,Race,Sex,Age-adjusted Prevalence,Total Respondents
New Jersey,All Races and Ethnicities,Male and Female,Data Suppressed,Data Suppressed
Kentucky,All Races and Ethnicities,Male and Female,23.7,7974
Puerto Rico,All Races and Ethnicities,Male and Female,29.1,6032
Oklahoma,All Races and Ethnicities,Male and Female,31.3,6335
Mississippi,All Races and Ethnicities,Male and Female,35.5,5126
Louisiana,All Races and Ethnicities,Male and Female,38.6,4718
Alabama,All Races and Ethnicities,Male and Female,39.5,7052
Tennessee,All Races and Ethnicities,Male and Female,39.9,6242
Arkansas,All Races and Ethnicities,Male and Female,40.5,5359
Indiana,All Races and Ethnicities,Male and Female,40.5,8894
Missouri,All Races and Ethnicities,Male and Female,40.6,7304
South Carolina,All Races and Ethnicities,Male and Female,40.6,7143
New York,All Races and Ethnicities,Male and Female,41.1,14232
Georgia,All Races and Ethnicities,Male and Female,41.4,7354
South Dakota,All Races and Ethnicities,Male and Female,41.8,6630
Texas,All Races and Ethnicities,Male and Female,41.8,12297
Rhode Island,All Races and Ethnicities,Male and Female,42.4,6110
Kansas,All Races and Ethnicities,Male and Female,42.6,11368
Ohio,All Races and Ethnicities,Male and Female,42.6,13536
Virginia,All Races and Ethnicities,Male and Female,43.1,9952
Iowa,All Races and Ethnicities,Male and Female,43.2,9803
North Dakota,All Races and Ethnicities,Male and Female,43.5,5534
Nebraska,All Races and Ethnicities,Male and Female,43.7,15869
Nevada,All Races and Ethnicities,Male and Female,44.2,2779
Florida,All Races and Ethnicities,Male and Female,44.8,16959
Delaware,All Races and Ethnicities,Male and Female,44.9,3897
Maryland,All Races and Ethnicities,Male and Female,45,17419
North Carolina,All Races and Ethnicities,Male and Female,45.1,4287
West Virginia,All Races and Ethnicities,Male and Female,45.1,5301
Illinois,All Races and Ethnicities,Male and Female,45.2,5512
Maine,All Races and Ethnicities,Male and Female,45.3,11373
Connecticut,All Races and Ethnicities,Male and Female,45.5,9163
Pennsylvania,All Races and Ethnicities,Male and Female,45.5,6606
District of Columbia,All Races and Ethnicities,Male and Female,45.9,2624
Massachusetts,All Races and Ethnicities,Male and Female,46.1,7731
Arizona,All Races and Ethnicities,Male and Female,46.2,8941
Michigan,All Races and Ethnicities,Male and Female,46.4,10518
California,All Races and Ethnicities,Male and Female,47.6,11613
New Hampshire,All Races and Ethnicities,Male and Female,47.8,5856
Wisconsin,All Races and Ethnicities,Male and Female,48,4951
Wyoming,All Races and Ethnicities,Male and Female,49.2,4630
Idaho,All Races and Ethnicities,Male and Female,49.4,5474
Hawaii,All Races and Ethnicities,Male and Female,49.7,7684
Washington,All Races and Ethnicities,Male and Female,49.7,12993
New Mexico,All Races and Ethnicities,Male and Female,49.8,5975
Oregon,All Races and Ethnicities,Male and Female,49.8,6112
Alaska,All Races and Ethnicities,Male and Female,50.4,2977
Utah,All Races and Ethnicities,Male and Female,50.5,11792
Minnesota,All Races and Ethnicities,Male and Female,51.2,15539
Colorado,All Races and Ethnicities,Male and Female,51.3,9317
Vermont,All Races and Ethnicities,Male and Female,53.6,6457
Montana,All Races and Ethnicities,Male and Female,57.7,6495
